epoch,accuracy,loss,lr,top3_accuracy,top5_accuracy,val_accuracy,val_loss,val_top3_accuracy,val_top5_accuracy
0,0.02673,5.144633193817139,0.001,0.06726,0.10138,0.06620000302791595,4.52052116394043,0.15109999477863312,0.20659999549388885
1,0.06037,4.6757289409637455,0.001,0.13427,0.1884,0.09690000116825104,4.02090311050415,0.1965000033378601,0.26980000734329224
2,0.08607,4.446386767425537,0.001,0.1813,0.24579,0.15940000116825104,4.08814001083374,0.30399999022483826,0.3847000002861023
3,0.10548,4.2880410676574705,0.001,0.21352,0.2843,0.17960000038146973,3.345252513885498,0.3352999985218048,0.41999998688697815
4,0.12537,4.153449454498291,0.001,0.24127,0.31615,0.16670000553131104,3.5561907291412354,0.3070000112056732,0.38999998569488525
5,0.13707,4.056755041122437,0.001,0.26261,0.33916,0.19370000064373016,3.116374969482422,0.34279999136924744,0.4334000051021576
6,0.14989,3.9614028300476076,0.001,0.2826,0.36173,0.22120000422000885,3.8253650665283203,0.3903000056743622,0.482699990272522
7,0.16266,3.8783276388549806,0.001,0.30018,0.38066,0.2442999929189682,3.825958728790283,0.41999998688697815,0.513700008392334
8,0.17503,3.809781232070923,0.001,0.31466,0.39641,0.25029999017715454,3.0058188438415527,0.4180999994277954,0.5045999884605408
9,0.18349,3.749589832992554,0.001,0.32838,0.41022,0.2865000069141388,3.617297649383545,0.4672999978065491,0.5587000250816345
10,0.19079,3.694707869415283,0.001,0.33934,0.42391,0.2596000134944916,3.9507641792297363,0.42969998717308044,0.527400016784668
11,0.20001,3.6420519984436037,0.001,0.35028,0.43489,0.3066999912261963,3.359757900238037,0.487199991941452,0.578000009059906
12,0.20745,3.600666276397705,0.001,0.36232,0.44568,0.3221000134944916,2.8037638664245605,0.5045999884605408,0.5934000015258789
13,0.21323,3.5607902013397217,0.001,0.36907,0.45488,0.3305000066757202,2.196002721786499,0.5045999884605408,0.5956000089645386
14,0.22286,3.5127960315704345,0.001,0.38043,0.46547,0.3212999999523163,2.917233943939209,0.5115000009536743,0.5976999998092651
15,0.22781,3.478526162033081,0.001,0.38798,0.4741,0.3165000081062317,3.307251214981079,0.4950000047683716,0.5827999711036682
16,0.23198,3.4458533038330077,0.001,0.39577,0.4816,0.2696000039577484,3.6632957458496094,0.4406000077724457,0.5347999930381775
17,0.23611,3.4213192071533203,0.001,0.39787,0.48446,0.31709998846054077,3.1702663898468018,0.4959999918937683,0.5831999778747559
18,0.24242,3.38836359413147,0.001,0.40503,0.49248,0.34310001134872437,2.5257186889648438,0.5231999754905701,0.6118000149726868
19,0.24604,3.369466434249878,0.001,0.40863,0.49633,0.352400004863739,2.7485008239746094,0.5379999876022339,0.6277999877929688
20,0.25065,3.3383956772613526,0.001,0.417,0.50302,0.3319000005722046,2.487248420715332,0.5133000016212463,0.5989000201225281
21,0.25519,3.31338387588501,0.001,0.42263,0.50889,0.3537999987602234,3.9263596534729004,0.5440000295639038,0.6309999823570251
22,0.25894,3.2930157345581055,0.001,0.42755,0.5149,0.37880000472068787,2.989563465118408,0.5690000057220459,0.6514000296592712
23,0.26275,3.269778577194214,0.001,0.43293,0.52055,0.3637999892234802,2.7308621406555176,0.5540000200271606,0.6412000060081482
24,0.26589,3.244274730606079,0.001,0.43561,0.52326,0.38580000400543213,3.1749026775360107,0.5763000249862671,0.6564000248908997
25,0.27106,3.228764232406616,0.001,0.44033,0.52753,0.38040000200271606,3.683049201965332,0.5680999755859375,0.6498000025749207
26,0.27262,3.205053143615723,0.001,0.44584,0.53126,0.37229999899864197,2.897674083709717,0.5602999925613403,0.6456999778747559
27,0.27546,3.196118388595581,0.001,0.44864,0.53476,0.3828999996185303,3.979984760284424,0.5695000290870667,0.652400016784668
28,0.27983,3.170523786697388,0.001,0.45499,0.54097,0.4018000066280365,2.475423574447632,0.5881999731063843,0.6714000105857849
29,0.28293,3.1531509228515624,0.001,0.45538,0.54421,0.3781999945640564,2.7092580795288086,0.5684000253677368,0.6500999927520752
30,0.28581,3.1458517098999024,0.001,0.45707,0.5434,0.39660000801086426,2.3806135654449463,0.5835999846458435,0.6664999723434448
31,0.28959,3.1287270026397707,0.001,0.46221,0.54964,0.40400001406669617,3.099621295928955,0.5918999910354614,0.6761000156402588
32,0.28906,3.110610114135742,0.001,0.46388,0.55223,0.387800008058548,1.8761792182922363,0.5730000138282776,0.6542999744415283
33,0.29317,3.0904441357421875,0.001,0.46947,0.55712,0.3767000138759613,2.499079704284668,0.5648999810218811,0.6467000246047974
34,0.29368,3.0850515143585207,0.001,0.46957,0.55692,0.39410001039505005,2.052837610244751,0.5835999846458435,0.6682000160217285
35,0.2986,3.068500126571655,0.001,0.4758,0.56257,0.3919999897480011,2.0420453548431396,0.5771999955177307,0.6628000140190125
36,0.30017,3.056216368331909,0.001,0.47806,0.56492,0.4106999933719635,2.908601999282837,0.6000000238418579,0.6791999936103821
37,0.30219,3.0447590144348147,0.001,0.47887,0.56451,0.3903999924659729,2.035616397857666,0.5788999795913696,0.6614000201225281
38,0.30774,3.023296325111389,0.001,0.48407,0.57008,0.4131999909877777,3.0494210720062256,0.5968000292778015,0.6794999837875366
39,0.3061,3.024073743209839,0.001,0.48454,0.56949,0.3982999920845032,3.3218181133270264,0.5820000171661377,0.660099983215332
40,0.30906,3.003523010482788,0.001,0.48723,0.57396,0.4016000032424927,2.254443645477295,0.5819000005722046,0.6690000295639038
41,0.31364,2.994239086074829,0.001,0.49087,0.57549,0.42500001192092896,2.75184965133667,0.6116999983787537,0.692300021648407
42,0.31442,2.9871841542816164,0.001,0.49275,0.5769,0.41519999504089355,1.6313847303390503,0.6015999913215637,0.6825000047683716
43,0.31707,2.971175100708008,0.001,0.49396,0.58205,0.39480000734329224,2.4978835582733154,0.5895000100135803,0.667900025844574
44,0.31642,2.9665279628372194,0.001,0.49447,0.58289,0.4253999888896942,2.4200539588928223,0.6111000180244446,0.694599986076355
45,0.31695,2.9581691675567625,0.001,0.49841,0.58464,0.43050000071525574,2.5671260356903076,0.6220999956130981,0.7027000188827515
46,0.32227,2.9356991381073,0.001,0.5027,0.58892,0.4097000062465668,2.8937301635742188,0.599399983882904,0.6790000200271606
47,0.32221,2.937844832649231,0.001,0.49995,0.58882,0.4129999876022339,1.9734997749328613,0.600600004196167,0.6808000206947327
48,0.32544,2.923312348480225,0.001,0.50497,0.59109,0.40290001034736633,2.8532378673553467,0.5922999978065491,0.6722999811172485
49,0.32397,2.921035040473938,0.001,0.50407,0.59106,0.4325000047683716,1.438288927078247,0.6220999956130981,0.6991000175476074
50,0.32839,2.9043965697097778,0.001,0.5098,0.59663,0.41440001130104065,2.321413516998291,0.5996000170707703,0.6829000115394592
51,0.33011,2.898369461708069,0.001,0.51023,0.59643,0.4375999867916107,1.6596742868423462,0.628600001335144,0.7027000188827515
52,0.33299,2.8816225786209104,0.001,0.51452,0.59941,0.4205999970436096,2.1463913917541504,0.6104999780654907,0.6888999938964844
53,0.33305,2.879138080635071,0.001,0.51473,0.60152,0.42989999055862427,1.9765805006027222,0.6212000250816345,0.6959999799728394
54,0.33626,2.8684966693115235,0.001,0.51614,0.60052,0.43059998750686646,2.346015214920044,0.6166999936103821,0.6976000070571899
55,0.33445,2.8679237686920165,0.001,0.51589,0.60144,0.4171000123023987,2.882467031478882,0.6033999919891357,0.683899998664856
56,0.3384,2.8486412455749512,0.001,0.52025,0.60581,0.4334000051021576,2.6080565452575684,0.6226999759674072,0.7013000249862671
57,0.35327,2.7627859934234618,0.00031600002,0.53983,0.62524,0.45239999890327454,3.1131973266601562,0.6449000239372253,0.7211999893188477
58,0.3599,2.7342835989761354,0.00031600002,0.54544,0.62748,0.45840001106262207,1.798437237739563,0.6478999853134155,0.722599983215332
59,0.36264,2.7189640045547487,0.00031600002,0.5469,0.63204,0.45159998536109924,1.384084701538086,0.6460999846458435,0.7210000157356262
60,0.36636,2.7021442472457884,0.00031600002,0.55077,0.63589,0.4569999873638153,1.4573135375976562,0.6484000086784363,0.7267000079154968
61,0.36654,2.697282647895813,0.00031600002,0.55314,0.63757,0.46140000224113464,2.4718995094299316,0.6521000266075134,0.7293999791145325
62,0.37001,2.6821074523925783,0.00031600002,0.55412,0.63852,0.4503999948501587,2.7057132720947266,0.6412000060081482,0.7170000076293945
63,0.3713,2.6777467821121217,0.00031600002,0.556,0.63946,0.4458000063896179,1.9871543645858765,0.6384999752044678,0.7148000001907349
64,0.37178,2.676387688179016,0.00031600002,0.55715,0.64095,0.45399999618530273,2.447892904281616,0.6456000208854675,0.722599983215332
65,0.36928,2.676122141189575,0.00031600002,0.554,0.63975,0.44929999113082886,1.4755380153656006,0.641700029373169,0.7172999978065491
66,0.37339,2.6605658945083617,0.00031600002,0.55936,0.64335,0.4657000005245209,2.0137383937835693,0.6607999801635742,0.7311000227928162
67,0.37588,2.6517588790130615,0.00031600002,0.56252,0.6469,0.4681999981403351,2.7054572105407715,0.6554999947547913,0.732699990272522
68,0.3768,2.65074575340271,0.00031600002,0.56296,0.64441,0.461899995803833,2.4031949043273926,0.6539000272750854,0.7264000177383423
69,0.37477,2.645090100631714,0.00031600002,0.56308,0.6482,0.4625999927520752,2.6268410682678223,0.6521999835968018,0.7275000214576721
70,0.37935,2.631399764060974,0.00031600002,0.56489,0.64915,0.4693000018596649,2.7650136947631836,0.6571000218391418,0.7329000234603882
71,0.37863,2.638407992401123,0.00031600002,0.56344,0.64782,0.45489999651908875,1.9293315410614014,0.6448000073432922,0.7208999991416931
72,0.3799,2.6331792282104494,0.00031600002,0.56475,0.64812,0.45820000767707825,1.7343209981918335,0.6506999731063843,0.7307000160217285
73,0.37991,2.6306028913116455,0.00031600002,0.56469,0.64783,0.4675000011920929,2.239945411682129,0.6541000008583069,0.7333999872207642
74,0.38322,2.6187496590805055,0.00031600002,0.56806,0.65035,0.4659000039100647,2.1030287742614746,0.6567999720573425,0.7305999994277954
75,0.38077,2.620951058998108,0.00031600002,0.56691,0.65056,0.4691999852657318,2.2189528942108154,0.6559000015258789,0.7279000282287598
76,0.38612,2.5990332971954344,9.9856006e-05,0.57249,0.65597,0.47130000591278076,2.9126219749450684,0.6590999960899353,0.734000027179718
77,0.38816,2.583141940994263,9.9856006e-05,0.57461,0.65768,0.4726000130176544,1.7960538864135742,0.6611999869346619,0.7365000247955322
78,0.38798,2.5775691847610473,9.9856006e-05,0.5754,0.65938,0.46619999408721924,1.8655433654785156,0.656499981880188,0.7282000184059143
79,0.39075,2.570207332992554,9.9856006e-05,0.57602,0.65943,0.47040000557899475,2.237140655517578,0.6575999855995178,0.7343999743461609
80,0.39222,2.568567834663391,9.9856006e-05,0.57819,0.66034,0.4731000065803528,1.0335395336151123,0.6586999893188477,0.734000027179718
81,0.39207,2.568209048271179,9.9856006e-05,0.5769,0.66049,0.47200000286102295,2.1278371810913086,0.659600019454956,0.73580002784729
82,0.39283,2.5558859685516357,9.9856006e-05,0.58091,0.66183,0.4749000072479248,2.4435131549835205,0.6570000052452087,0.7391999959945679
83,0.39219,2.56090110206604,9.9856006e-05,0.57837,0.66168,0.4702000021934509,2.8893866539001465,0.6593999862670898,0.7350999712944031
84,0.39314,2.5570555223083495,9.9856006e-05,0.57953,0.66397,0.4722999930381775,2.740790843963623,0.6607999801635742,0.738099992275238
85,0.39385,2.5501978564453127,9.9856006e-05,0.58178,0.66363,0.47269999980926514,2.6443538665771484,0.6617000102996826,0.7360000014305115
86,0.39281,2.554832640686035,9.9856006e-05,0.57971,0.66302,0.4731000065803528,2.6373982429504395,0.6615999937057495,0.73580002784729
