epoch,accuracy,loss,lr,top3_accuracy,top5_accuracy,val_accuracy,val_loss,val_top3_accuracy,val_top5_accuracy
0,0.02777,5.123669831542969,0.001,0.07074,0.10626,0.0681999996304512,4.395530700683594,0.15549999475479126,0.21709999442100525
1,0.06188,4.666467965698242,0.001,0.13853,0.19377,0.11309999972581863,4.444887161254883,0.2362000048160553,0.3133000135421753
2,0.08575,4.447438584899903,0.001,0.18236,0.24684,0.15039999783039093,4.07859992980957,0.28519999980926514,0.37450000643730164
3,0.10417,4.289201275482178,0.001,0.21314,0.2846,0.15309999883174896,3.9153647422790527,0.298799991607666,0.38510000705718994
4,0.1224,4.1624965672302245,0.001,0.24077,0.3159,0.19169999659061432,3.5369937419891357,0.35420000553131104,0.44130000472068787
5,0.13626,4.055294834899902,0.001,0.26243,0.34179,0.21439999341964722,3.3569929599761963,0.3797000050544739,0.4684999883174896
6,0.14854,3.9607700226593017,0.001,0.28179,0.36231,0.22380000352859497,3.234745502471924,0.3806999921798706,0.46700000762939453
7,0.16262,3.87880081199646,0.001,0.29997,0.38026,0.25589999556541443,4.089043140411377,0.42719998955726624,0.5235999822616577
8,0.17408,3.811269935913086,0.001,0.31439,0.39739,0.2597000002861023,4.181078910827637,0.4343000054359436,0.5241000056266785
9,0.1812,3.7532241913604736,0.001,0.32702,0.41145,0.260699987411499,2.9850292205810547,0.4345000088214874,0.5249999761581421
10,0.19154,3.694091969909668,0.001,0.3403,0.4241,0.28459998965263367,3.270477771759033,0.4625000059604645,0.5526000261306763
11,0.19828,3.6468433014678956,0.001,0.35104,0.43495,0.2879999876022339,2.9784321784973145,0.4706000089645386,0.5562000274658203
12,0.20792,3.59929311630249,0.001,0.36054,0.44718,0.3160000145435333,2.442293643951416,0.4964999854564667,0.5871000289916992
13,0.21472,3.5521571908569336,0.001,0.37322,0.45807,0.3158999979496002,3.402400493621826,0.5052000284194946,0.5936999917030334
14,0.2217,3.514981729736328,0.001,0.37905,0.46359,0.2921000123023987,3.271214723587036,0.46950000524520874,0.5575000047683716
15,0.22538,3.488710927810669,0.001,0.3852,0.47034,0.30970001220703125,3.6785011291503906,0.4896000027656555,0.5813999772071838
16,0.23002,3.448185652770996,0.001,0.39338,0.48025,0.3240000009536743,2.1296603679656982,0.513700008392334,0.5981000065803528
17,0.23805,3.4117487134552,0.001,0.40049,0.48693,0.3499999940395355,3.0284910202026367,0.5376999974250793,0.6299999952316284
18,0.2419,3.387319169616699,0.001,0.40688,0.49315,0.3384000062942505,2.5189967155456543,0.5264999866485596,0.6123999953269958
19,0.24681,3.3620693225097655,0.001,0.41062,0.4982,0.35040000081062317,2.969085216522217,0.5389999747276306,0.6255999803543091
20,0.25185,3.3319484055328368,0.001,0.41845,0.50658,0.3336000144481659,2.1957952976226807,0.5254999995231628,0.6146000027656555
21,0.25653,3.310946301574707,0.001,0.42345,0.51023,0.3709999918937683,2.854306221008301,0.5613999962806702,0.6492000222206116
22,0.26137,3.285290603637695,0.001,0.42803,0.51579,0.364300012588501,2.3703861236572266,0.5557000041007996,0.6385999917984009
23,0.2625,3.2716836363983153,0.001,0.43116,0.51837,0.3560999929904938,2.1063077449798584,0.544700026512146,0.6290000081062317
24,0.26745,3.2403619289398193,0.001,0.43709,0.52394,0.36890000104904175,2.7688279151916504,0.5565999746322632,0.6434000134468079
25,0.27013,3.2178846453857424,0.001,0.4432,0.52969,0.35679998993873596,2.0990149974823,0.5461999773979187,0.6331999897956848
26,0.27358,3.2004548349761963,0.001,0.44713,0.53471,0.37720000743865967,2.199202537536621,0.5722000002861023,0.6496000289916992
27,0.27747,3.182191510467529,0.001,0.45023,0.53742,0.3776000142097473,2.3764383792877197,0.5637000203132629,0.6549999713897705
28,0.28055,3.173559851989746,0.001,0.45221,0.53901,0.39079999923706055,3.1841821670532227,0.5770000219345093,0.6640999913215637
29,0.28445,3.1561955453491213,0.001,0.456,0.54126,0.3952000141143799,2.2989840507507324,0.5859000086784363,0.6704999804496765
30,0.28748,3.1320017486953735,0.001,0.46108,0.54929,0.38690000772476196,2.157928705215454,0.578499972820282,0.6625999808311462
31,0.28927,3.118364183502197,0.001,0.46497,0.55061,0.38350000977516174,1.528917908668518,0.5698999762535095,0.6565999984741211
32,0.29292,3.098924628715515,0.001,0.46927,0.55598,0.40540000796318054,3.0010948181152344,0.5954999923706055,0.6777999997138977
33,0.2962,3.0862688872528077,0.001,0.47054,0.55776,0.4032999873161316,2.3478341102600098,0.5914999842643738,0.6765000224113464
34,0.29872,3.0725155800628663,0.001,0.47413,0.56081,0.3837999999523163,2.025404214859009,0.5745000243186951,0.6607999801635742
35,0.29896,3.0663556765365603,0.001,0.47537,0.56293,0.40389999747276306,2.5223288536071777,0.5934000015258789,0.6796000003814697
36,0.30383,3.0482990725326538,0.001,0.48006,0.56699,0.4104999899864197,2.2073655128479004,0.5964999794960022,0.6818000078201294
